OG Model Q12 Q21 Model_conf Parameter_pval Tree_size
OG0000155 ER-white NA NA 0.52 NA 12
OG0000156 ER 8.18239088790321e-05 NA 0.711111111111111 0.705669446616634 32
OG0000157 ER 0.00163675225277823 NA 0.797979797979798 0.414580890617265 30
OG0000158 ER 0.0091154410050654 NA 0.7 0.356435643564356 20
OG0000160 ER 0.00048310047396634 NA 0.84375 0.390574673802921 39
OG0000161 ER 0.00505490463517077 NA 0.83 0.376237623762376 27
OG0000162 ER-white NA NA 0.77 NA 21
OG0000163 ER-white NA NA 0.84 NA 13
OG0000164 ER-white NA NA 0.7 NA 18
OG0000166 ER 0.00437152073507534 NA 0.75 0.613861386138614 24
OG0000167 ER-white NA NA 0.78 NA 11
OG0000168 ARD 0.000885464589164033 6.4498073445234e-17 NA 0.613861386138614 26
OG0000169 ER 0.00136012622655536 NA 0.797979797979798 0.34666167295057 34
OG0000170 ER 0.000209058223585229 NA 0.822784810126582 0.495869942656528 32
OG0000171 ER 0.000189691430918902 NA 0.956521739130435 0.888785833549049 11
OG0000172 ER 0.00218241062274817 NA 0.81 0.396039603960396 32
OG0000173 ER-white NA NA 0.88 NA 40
OG0000174 ER-white NA NA 0.767123287671233 NA 41
OG0000175 ER 0.00625106366320845 NA 0.89 0.376237623762376 26
OG0000176 ER-white NA NA 0.92 NA 38
OG0000177 ER 0.000765315793502623 NA 0.73469387755102 0.416255785675428 24
OG0000178 ARD 0.0948757618476778 0.0948757618476778 1 0.558431622880458 2
OG0000179 ER 0.000225222971260646 NA 0.666666666666667 0.582414058139323 10
OG0000180 ER-white NA NA 0.54 NA 14
OG0000181 ER 0.00340147089314597 NA 0.898989898989899 0.860255220526975 14
OG0000182 ER 0.00724582100984441 NA 0.69 0.435643564356435 26
OG0000183 ER 0.000784192141361844 NA 0.76530612244898 0.347507765649985 37
OG0000184 ER 0.00044880215729886 NA 0.852272727272727 0.504256571927701 27
OG0000185 ER 0.00483897429030529 NA 0.73 0.455445544554455 29
OG0000187 ARD 0.00131729230279445 0.0045159127080893 0.25 0.613861386138614 38
OG0000188 ER 0.00636700358185773 NA 0.64 0.733451416594368 12
OG0000189 ER-white NA NA 0.72 NA 35
OG0000190 ER-white NA NA 0.56 NA 18
OG0000191 ER-white NA NA 0.666666666666667 NA 7
OG0000192 ER 7.65748529827758e-05 NA 0.794871794871795 0.283757484361949 40
OG0000193 ER 0.00034800606400075 NA 0.777777777777778 0.705459445744736 15
OG0000194 ER 0.000678969338563928 NA 0.829268292682927 0.563960173825602 10
OG0000195 ER 0.00417723396478891 NA 0.77 0.650213839924268 20
OG0000196 ER 0.000972424825493855 NA 0.855670103092783 0.335414537270251 24
OG0000197 ER 0.0136871366148497 NA 0.76 0.594059405940594 30
OG0000198 ER-white NA NA 0.797979797979798 NA 9
OG0000200 ER 0.00871038797288521 NA 0.412371134020619 0.955142667546792 8
OG0000201 ARD 5.77080466869302e-16 0.00215913231817599 0.389473684210526 0.229166666666667 35
OG0000202 ER-white NA NA 0.896907216494845 NA 42
OG0000203 ER-white NA NA 0.83 NA 19
OG0000205 ER-white NA NA 0.753424657534247 NA 41
OG0000206 ER 0.000690697382599994 NA 0.818181818181818 0.119999999999999 41
OG0000207 ER 0.00375338865196885 NA 0.731958762886598 0.813482468952934 11
OG0000209 ER 0.000299289930840431 NA 0.746835443037975 0.420182221223102 35
OG0000210 ER 0.318316779221425 NA 0.3 0.633663366336634 22
OG0000211 ER 0.00107391455639567 NA 0.828282828282828 0.24 25
OG0000213 ARD 6.96585075499864e-17 0.00210093596583061 0.206185567010309 0.463357293745467 22
OG0000214 ER-white NA NA 0.654761904761905 NA 9
OG0000215 ER-white NA NA 0.94 NA 38
OG0000216 ER-white NA NA 0.75 NA 16
OG0000217 ER 0.000792734376570004 NA 0.694117647058824 0.477368867454685 11
OG0000218 ER 0.00307911182649651 NA 0.89 0.435643564356435 29
OG0000219 ER 0.000771323276103061 NA 0.757575757575758 0.179999999999999 35
OG0000220 ER 0.00098403443252617 NA 0.797979797979798 0.474124429443004 26
OG0000221 ER-white NA NA 0.74 NA 29
OG0000222 ER 0.00246766372825553 NA 0.91 0.356435643564356 17
OG0000223 ER 0.0983423111614696 NA 0.586206896551724 0.677715186423982 4
OG0000224 ER-white NA NA 0.7 NA 17
OG0000226 ER-white NA NA 0.57 NA 22
OG0000227 ER-white NA NA 0.785714285714286 NA 14
OG0000228 ARD 0.000319055917766936 0.00317875196855033 0.239583333333333 0.6162577075483 39
OG0000229 ER 0.000788291119410912 NA 0.79 0.412943144284308 40
OG0000230 ER-white NA NA 0.94 NA 37
