OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0005106 Brownian 0.00541778060986356 NA 0.85 0.95049504950495 39 3.65086299194191 3.24401201582817
OG0005107 OU 0.0219511199977113 0.00616188446888683 0.87 0.891089108910891 38 3.5257119973886 3.27799002034845
OG0005108 OU 0.0190757890839065 0.00489940710102507 0.91 0.772277227722772 34 3.69317184114373 3.65822373900572
OG0005109 OU 0.0442543703290456 0.00736381672025873 0.83 0.97029702970297 39 2.92922785642807 3.19963735029332
OG0005110 OU 0.0278175004410951 0.00408195453283321 0.94 0.910891089108911 37 3.26258320858616 3.37389193101848
OG0005111 OU 0.0445662360583114 0.00759666439586341 0.77 0.633663366336634 39 2.96787883290868 3.01134411232962
OG0005112 White 6.86872029064779 NA 0.9 0.0198019801980192 38 1.50683363469912 1.6393571160679
OG0005113 White 2.65059752944471 NA 0.96 0.0198019801980192 22 1.97859051979948 2.2914624321022
OG0005114 OU 0.0414867693991084 0.0050263348221177 0.93 0.772277227722772 39 3.81841402521539 4.09175508110888
OG0005115 White 4.15768225700089 NA 0.97 0.0198019801980192 27 3.44833299198644 3.6104282961235
OG0005116 OU 0.021721740229898 0.00506793089096857 0.9 0.693069306930693 41 4.1490440996736 4.21097363135757
OG0005117 OU 0.021560803919016 0.00396908629653443 0.66 0.792079207920792 29 4.77430901597255 4.72461859099985
OG0005118 White 2.92303273374216 NA 0.87 0.0198019801980192 30 2.33880129404969 2.52279174228396
OG0005119 White 6.9825688518254 NA 0.95 0.0198019801980192 27 1.37431686648351 1.45025655035771
OG0005120 White 2.5813734228622 NA 0.93 0.0198019801980192 27 2.4981247929287 2.6792145706076
OG0005121 OU 0.268440257108613 0.0310059362471681 0.06 0.891089108910891 23 1.67893987305056 1.80887121541494
OG0005122 OU 0.0143751825351137 0.00324519798955803 0.97 0.693069306930693 36 4.76211122280279 4.54667927617785
OG0005123 White 2.36966348310612 NA 0.97 0.0198019801980192 28 2.64753444489088 2.85614668370821
OG0005124 OU 0.0711866282566748 0.00850617822887317 0.81 0.871287128712871 37 1.41862743334534 1.83657415373597
OG0005125 White 2.45338256370526 NA 0.93 0.0198019801980192 29 1.73830002048742 1.7981903543124
OG0005126 White 3.55110328646551 NA 0.94 0.0198019801980192 32 3.90052192540433 3.9129763219257
OG0005127 White 3.75081487248544 NA 0.95 0.0198019801980192 20 2.5079442870986 2.72423308415156
OG0005128 White 2.6986970741893 NA 0.95 0.0198019801980192 25 3.15104957834203 3.44057277473252
OG0005129 OU 0.016605886780389 0.00507693050785787 0.92 0.772277227722772 40 3.99719243153751 3.8448261775696
OG0005130 OU 0.0234042479376343 0.00429858624502378 0.67 0.95049504950495 27 2.97463770616016 2.9776943179882
OG0005131 OU 0.0407851460352418 0.0105924380519128 0.65 0.930693069306931 28 4.3358515514597 4.20470147368336
OG0005132 OU 0.00996990651973738 0.001248603748449 0.69 0.534653465346534 34 3.38332545022998 3.52669636661895
OG0005133 OU 0.0181938827529352 0.00340523110793937 0.9 0.811881188118812 36 3.56747436511082 3.60792962729756
OG0005134 Brownian 0.00513887101421709 NA 0.85 0.673267326732673 18 3.85413058615793 3.46913883733012
OG0005135 OU 3.18486098667332 0.823614109017516 0.01 0.495049504950495 18 -0.498708853175429 -0.0462532528158781
OG0005136 OU 0.0308365333177053 0.00656230103745449 0.88 0.772277227722772 37 3.18036428539665 3.41954198403437
OG0005137 OU 0.083684039951042 0.00411449083189373 0.57 0.811881188118812 26 2.9369930625131 3.10512378551666
OG0005141 White 4.52362238764288 NA 0.96 0.0198019801980192 22 0.720344873167097 0.99192303116905
OG0005142 OU 0.0233739914708205 0.00182653567558918 0.41 0.613861386138614 19 2.18233069386217 2.22090142428131
OG0005143 OU 0.0546326696781804 0.00601985063240776 0.31 0.772277227722772 22 1.61868783822334 1.55915606810244
OG0005145 OU 6.65460358557006 0.616130632232045 0.05 0.732673267326733 20 0.468787936813301 0.666510308770049
OG0005159 Brownian 0.00374939212733887 NA 0.87 0.891089108910891 37 4.03797149230737 3.67479698036194
OG0005160 OU 0.0144554228982154 0.00309607365483515 0.95 0.811881188118812 37 2.90893782461226 2.74072214776446
OG0005161 OU 0.0313407366329781 0.00588711232354859 0.93 0.792079207920792 39 3.6475045562636 3.71000920555527
OG0005162 White 2.33731285550167 NA 0.89 0.0198019801980192 40 2.93029224700589 3.00734515422023
OG0005163 OU 0.0116762815042549 0.00317821048113486 0.96 0.752475247524752 40 4.68518451125602 4.80224469829015
OG0005164 OU 0.0237757578428781 0.00329663473606363 0.95 0.772277227722772 38 4.28830296090761 3.80327484087301
OG0005165 OU 0.0296137812159694 0.00708654972765824 0.81 0.772277227722772 37 3.02487791254127 3.00274257152414
OG0005166 OU 0.0147377646763724 0.00370251827050774 0.96 0.792079207920792 40 3.91949614643386 4.265579155713
OG0005167 OU 0.0106313699006562 0.00323804276446417 0.9 0.712871287128713 31 3.13433707948184 3.17151951876109
OG0005168 OU 0.0200656422704446 0.00323496249112355 0.98 0.752475247524752 35 5.15502849735328 4.87269110455324
OG0005169 OU 0.031500697962853 0.00361460473482896 0.95 0.811881188118812 41 3.89615805572911 4.00528792337819
OG0005170 OU 0.0759970532139682 0.00235160739486888 0.89 0.732673267326733 34 -0.872038547520836 1.01025027730371
OG0005171 OU 0.0117631920502053 0.00262879571030606 0.97 0.772277227722772 39 3.74836463011889 3.61494306225208
OG0005172 OU 0.0117397056125889 0.00212432963187616 0.98 0.673267326732673 43 3.71976392243301 3.32543008007185
OG0005173 Brownian 0.00373984588191133 NA 0.86 0.910891089108911 32 5.16797020976959 5.00240838345813
OG0005174 OU 0.0163348883514317 0.00237139581843849 0.88 0.693069306930693 39 3.91803003237241 3.86083798000874
OG0005175 OU 0.00933901280095363 0.00262513953334605 0.9 0.811881188118812 38 4.71603701433789 4.64759676658109
OG0005176 OU 0.00454775848971407 1.06453500120487e-17 0.12 0.673267326732673 34 3.03193352929211 3.07313915127181
OG0005177 OU 0.0179400827639762 0.00341161774352864 0.91 0.97029702970297 39 3.88948658797795 3.62073883795847
OG0005178 OU 0.026127049251941 0.00789531951959704 0.8 0.910891089108911 40 4.00037663852523 4.0778112860857
OG0005179 White 1.55872083088248 NA 0.92 0.0990099009900984 38 4.21897941241873 4.37288554744331
OG0005180 Brownian 0.00406361492151054 NA 0.9 0.891089108910891 41 3.74008685715486 3.49880836935146
OG0005181 OU 0.0198301793936305 0.00290288563418339 0.98 0.752475247524752 38 5.66767437386118 5.13187607647841
OG0005182 OU 0.0239730787460889 0.00699694731502559 0.87 0.891089108910891 40 4.83477909583896 4.92418058365297
OG0005183 OU 0.0173337513063661 0.00393857195272655 0.96 0.673267326732673 37 3.12390014135724 2.84137361744428
OG0005184 OU 0.0137494399545265 0.002136544398253 0.89 0.712871287128713 41 3.60935472330532 3.26989868838764
OG0005185 OU 0.0181753027070913 0.00275989374969678 0.92 0.831683168316832 37 2.59028778803563 2.62904845395061
OG0005186 Brownian 0.00324169408447428 NA 0.88 0.910891089108911 39 3.81071134718077 3.60991761871829
OG0005187 OU 0.0383228372784853 0.0100939340771671 0.74 0.930693069306931 38 4.03218928302103 4.13467528711144
OG0005188 OU 0.0118699595941729 0.00192984638810365 0.86 0.693069306930693 40 3.70978660406854 3.45336897897592
OG0005189 OU 0.031745008847609 0.00292701921962998 0.96 0.851485148514851 38 3.96712420642834 4.27045182690565
OG0005190 Brownian 0.00699286990231148 NA 0.85 1 38 3.27419800304894 2.94372595190775
OG0005191 White 1.93797486427515 NA 0.96 0.0198019801980192 28 4.0098680776408 4.11936475682468
OG0005192 OU 0.0422803314892466 0.00705857280884789 0.89 0.99009900990099 39 4.72190233854514 4.79240180369187
OG0005193 OU 0.0178524174567311 0.0049274534238947 0.91 0.792079207920792 39 3.48677373858924 3.452532265695
OG0005194 OU 0.0249140954732465 0.00480676354426663 0.93 0.772277227722772 40 3.28818289638428 3.32894868697491
OG0005195 OU 0.0160758159302559 0.00502207775206328 0.97 0.871287128712871 42 3.75096104452232 3.89696600457264
OG0005196 OU 0.0128281756063095 0.00527743353148541 0.88 0.752475247524752 32 3.04560757435127 3.25091132008879
OG0005197 OU 0.0136426933156078 0.0022151035155393 0.92 0.653465346534653 37 5.15771200476144 4.69833074052838
OG0005198 OU 0.235194017093084 0.0173392622356171 0.5 0.851485148514851 34 4.2425326294802 4.17933450527209
OG0005199 OU 0.0109444566479516 0.00337571357203291 0.92 0.930693069306931 39 4.67615913521994 4.69028917335318
OG0005200 OU 0.0220982671031558 0.00266842107628773 0.91 0.792079207920792 40 4.64766550705936 4.49621925922725
OG0005201 Brownian 0.00745979604720234 NA 0.9 0.99009900990099 35 3.48083091911095 2.09001125623017
OG0005202 OU 0.0871706015975552 0.0173868425616097 0.44 0.97029702970297 30 2.49541899788614 2.6322325655119
OG0005203 OU 0.0381791367794562 0.00756808208807548 0.85 0.831683168316832 40 3.6209969708159 3.85774438156541
OG0005204 Brownian 0.00738017217040957 NA 0.88 0.99009900990099 38 4.62061345897515 4.26727171707641
OG0005205 White 3.63017922969054 NA 0.95 0.0198019801980192 32 2.08546007877481 2.26464831803482
OG0005206 White 3.42173296184508 NA 0.95 0.0198019801980192 31 3.2052947473206 3.22645755577225
OG0005207 OU 0.0100211237611033 0.00186476394458984 0.81 0.673267326732673 39 3.72193144588637 3.16723313868418
OG0005208 White 2.6622714419901 NA 0.97 0.0198019801980192 30 3.34786363403459 3.42864019950023
OG0005209 OU 0.157880481048773 0.00735842743083706 0.75 1 31 1.50010041419638 1.90110083239936
OG0005210 OU 0.0132230092783631 0.00265404203540319 0.9 0.673267326732673 11 3.87998353609764 3.30891715320947
OG0005211 OU 0.0111408354989061 0.00157717493744185 0.76 0.712871287128713 38 3.90504138442506 3.6033353139585
OG0005212 Brownian 0.00443785986676883 NA 0.87 0.851485148514851 37 4.27231086336673 3.96337514300235
OG0005213 OU 0.00952388302280425 0.00273765893804581 0.91 0.871287128712871 38 4.1738304144987 4.32558687522024
OG0005214 White 1.30424883566223 NA 0.94 0.158415841584158 40 3.77015241809388 3.77776807094455
OG0005215 Brownian 0.00371641341130601 NA 0.85 0.673267326732673 40 4.54105342008115 4.48938892343328
OG0005216 OU 0.0315180241766695 0.0101454973296496 0.76 0.97029702970297 38 3.28487547562032 3.18627312446799
OG0005217 OU 0.0347343241351729 0.0036845182250397 0.96 0.95049504950495 35 4.63031357005504 4.25590022965759
OG0005218 OU 0.0138056261049072 0.00210661802614788 0.72 0.910891089108911 32 4.37422688927083 4.20258513642505
OG0005219 OU 0.0284685186436544 0.00905739674469516 0.8 0.910891089108911 41 4.14464657672036 4.14193892580179
OG0005220 OU 0.00776055162183996 0.00241492270209766 0.92 0.732673267326733 38 5.17955991847486 4.7708852371998
OG0005221 OU 0.0405572445205382 0.00416445105048616 0.98 0.95049504950495 36 3.50027684299803 3.15000789737937
OG0005222 OU 0.0114567201016462 0.0020704682381302 0.85 0.792079207920792 37 4.5138229164906 4.79051078266357
OG0005223 OU 0.161252271055771 0.0234325873809539 0.4 0.910891089108911 40 3.87339948897382 3.9079987327241
OG0005224 OU 0.0440957462203174 0.0102407185230282 0.81 1 42 4.37726509017427 4.39186001531954
OG0005225 Brownian 0.00310577830139858 NA 0.91 0.811881188118812 38 4.95000944795043 4.6797380847895
OG0005226 OU 0.0854696845822126 0.00916087919474434 0.76 0.891089108910891 33 2.90986526016462 2.72778766559836
OG0005227 OU 0.0343440615218595 0.00857285619986266 0.84 0.910891089108911 38 5.30218996111065 5.30425661477539
OG0005228 OU 0.0394587520173413 0.00292104057627477 0.68 0.854917556589717 27 1.25557962802538 0.779716146555081
OG0005229 OU 0.0250523323435232 0.00437267889827474 0.96 0.930693069306931 36 3.94547165114075 4.21410890104468
OG0005230 OU 0.0274479007632954 0.00316182855390102 0.99 0.930693069306931 35 3.59212840782989 2.98330943326546
OG0005231 OU 0.0117171256442057 0.00235909102617387 0.94 0.673267326732673 40 4.27657134319713 4.03660835278888
OG0005232 Brownian 0.00714813410589037 NA 0.85 0.95049504950495 38 3.80779194029304 2.71548567895146
