OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0000037 White 3.2477894759679 NA 0.95 0.0198019801980192 NA 0.552946116589471 0.606521619536283
OG0000038 White 1.96545625287095 NA 0.95 0.0198019801980192 NA 2.02228797077328 2.05675297320046
OG0000039 Brownian 0.00825707302739833 NA 0.91 0.752475247524752 14 2.68648551731133 3.950333434901
OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0002508 White 1.02702583279462 NA 0.96 0.633663366336634 NA 4.03662418338984 4.04333044151695
OG0002509 White 1.15190193578658 NA 0.95 0.396039603960396 NA 5.15589853585621 5.14935387855178
OG0002513 White 0.703797123529132 NA 0.95 0.693069306930693 NA 4.14554512103044 4.18665800172605
OG0002529 Brownian 0.00170302346456504 NA 0.76 0.673267326732673 10 3.73255567030815 3.96596461677159
OG0002536 White 0.451632504638677 NA 0.94 0.217821782178217 NA 3.82939572410021 3.824908492869
OG0002541 White 0.393573125521629 NA 0.95 0.158415841584158 NA 5.80603480907386 5.80230146705986
OG0002562 Brownian 0.00419277762937562 NA 0.93 0.871287128712871 14 4.25512191433777 4.26510249719169
OG0002569 Brownian 0.0109047914641311 NA 0.91 0.693069306930693 11 4.55299438709816 5.03761078571888
OG0002573 Brownian 0.00318729020337791 NA 0.9 0.772277227722772 12 3.1260240738458 3.35891560482285
OG0002575 Brownian 0.00321653893206779 NA 0.9 0.772277227722772 10 4.00753245846129 3.25897201585392
OG0002592 White 1.39720024356775 NA 0.91 0.217821782178217 NA 4.96327869378242 4.96674712194919
OG0002623 Brownian 0.00166858719547845 NA 0.84 0.891089108910891 10 4.03432977762045 3.89889867527014
OG0002649 Brownian 0.00118639881003676 NA 0.9 0.712871287128713 12 5.09207882132459 5.2327266238248
OG0002650 Brownian 0.00395605248883066 NA 0.83 0.95049504950495 14 4.835230731817 4.97375502862067
OG0002675 Brownian 0.0014018328055091 NA 0.88 0.831683168316832 14 4.61510711495914 4.10286963191819
OG0002677 OU 0.00499563842383715 0.00394098896225099 0.68 0.732673267326733 17 4.10763709735155 4.11891893722925
OG0002679 White 1.03420639244305 NA 0.97 0.613861386138614 NA 4.96531669542682 4.96222507832212
OG0002711 White 0.561815029513294 NA 0.99 0.257425742574257 NA 4.61044944513969 4.63451520377373
OG0002724 White 2.37228842701206 NA 0.95 0.0198019801980192 NA 4.00445455070782 4.01810912690861
OG0002739 Brownian 0.00512713479007388 NA 0.91 0.712871287128713 11 4.80424752452041 5.27848402628865
OG0002742 Brownian 0.00602401018075205 NA 0.88 0.712871287128713 11 3.88334035294922 4.28636471779932
OG0002747 Brownian 0.00540058761726674 NA 0.83 0.95049504950495 13 3.8391056911679 4.86730649745105
OG0002753 Brownian 0.00581553768278927 NA 0.92 0.673267326732673 10 4.66233295727039 4.1531907645253
OG0002764 Brownian 0.00178149508493993 NA 0.86 0.673267326732673 11 3.90389909823903 3.84485037181356
OG0002766 White 1.20684226866817 NA 0.96 0.435643564356435 NA 3.52254945592945 3.51386428604632
OG0002789 White 1.25266417472813 NA 0.98 0.297029702970297 NA 4.43575028460922 4.50093157783547
OG0002797 OU 0.0235560514129781 0.003083323435556 0.14 0.811881188118812 16 6.39066159656281 6.63953600799681
OG0002804 Brownian 0.00743605610082388 NA 0.93 0.653465346534653 12 5.24787052244274 5.57616192920195
OG0002832 Brownian 0.000972967164847678 NA 0.86 0.752475247524752 15 6.99998602759817 6.27964310446506
OG0002835 White 3.5720880105721 NA 0.89 0.0198019801980192 NA 3.4183862164133 3.44070201403861
OG0002846 Brownian 0.00680491794959796 NA 0.86 0.693069306930693 10 2.31211389288725 1.42493731414129
OG0002852 OU 0.0251850913212491 0.00484214506117579 0.66 0.732673267326733 18 2.21420694405336 2.4558518240498
OG0002868 Brownian 0.00173336111596867 NA 0.84 0.653465346534653 10 4.38992782079374 4.46589174513235
OG0002877 Brownian 0.0023801159708938 NA 0.9 0.613861386138614 11 4.46870716483527 4.4021211451029
OG0002881 White 3.66943779817798 NA 0.92 0.0198019801980192 NA 3.9974322766696 4.01660859439515
OG0002899 Brownian 0.00392823809445838 NA 0.92 0.712871287128713 12 5.9400021024931 5.81865935086161
OG0002909 White 0.48877071696651 NA 0.97 0.118811881188118 NA 3.90990971533539 4.00902442823681
OG0002956 Brownian 0.00100784793705435 NA 0.85 0.772277227722772 10 5.19636885595598 5.49292106448082
OG0002964 Brownian 0.00264363259627675 NA 0.93 0.732673267326733 16 4.81646436852351 4.75571394661797
OG0002985 Brownian 0.0132759271492186 NA 0.87 0.693069306930693 12 4.9500597938574 3.76352094200534
OG0002987 OU 0.0876944333603924 0.041474816158501 0.06 0.910891089108911 12 4.5392381872102 4.64635623083677
